Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:1903561~extracellular vesicle	40	38.095238095238095	1.4121078590278125E-8	FCGBP, SCARB1, GRN, THRB, PCOLCE2, CNP, HBB, CXCR4, ATP1A2, PLOD2, CAPG, LTBP3, FNBP1L, ENO2, THBS1, NDRG1, FSTL1, LFNG, IGKC, RACK1, SPP1, NCAM1, SH3BGRL3, GPC4, PRKCD, PLAUR, FN1, CYBRD1, HBA2, HBA1, HLA-A, MIF, EHD2, COL1A2, DDAH2, APOC2, CD9, ZNF711, SERINC1, LAP3	102	2825	18224	2.5297935103244837	5.365995524031497E-6	2.7100284788153087E-6	2.4960788620667317E-6
GOTERM_CC_ALL	GO:0043230~extracellular organelle	40	38.095238095238095	1.4263307783238468E-8	FCGBP, SCARB1, GRN, THRB, PCOLCE2, CNP, HBB, CXCR4, ATP1A2, PLOD2, CAPG, LTBP3, FNBP1L, ENO2, THBS1, NDRG1, FSTL1, LFNG, IGKC, RACK1, SPP1, NCAM1, SH3BGRL3, GPC4, PRKCD, PLAUR, FN1, CYBRD1, HBA2, HBA1, HLA-A, MIF, EHD2, COL1A2, DDAH2, APOC2, CD9, ZNF711, SERINC1, LAP3	102	2826	18224	2.528898325076669	5.420042297865635E-6	2.7100284788153087E-6	2.4960788620667317E-6
UP_KEYWORDS	Phosphoprotein	69	65.71428571428571	4.8416254458852944E-8	SCARB1, BTG1, HBB, PLOD2, KIF11, FNBP1L, ENO2, PPP1R18, AKAP12, NGRN, TRIM2, RACK1, TNS3, TMPO, DUSP4, BNIP3L, RALBP1, PRKCD, F2R, COBL, HBA2, HLA-A, HBA1, GAP43, DKC1, NUPR1, LAP3, MXRA7, DBN1, SIDT2, CNP, EPAS1, CXCR4, SLC1A3, CAPG, ATP1A2, FOXO3, NOL3, NDRG1, FSTL1, SLC5A3, SLC7A2, LARS, IRAK2, SPP1, NCAM1, GPC4, PDLIM5, PPARGC1A, PRRX1, NTRK3, MCAM, FN1, LAPTM5, CYBRD1, PARP14, KBTBD11, SLC6A6, EHD2, H1F0, SLC6A8, APC, NFIB, DLC1, KLF9, BHLHE40, CFAP36, SERINC1, NCAPD2	103	8246	20581	1.6719951303250298	9.828451591697984E-6	9.828499655147148E-6	9.150672092723206E-6
GOTERM_CC_ALL	GO:0070062~extracellular exosome	38	36.19047619047619	1.4274082103141559E-7	FCGBP, SCARB1, GRN, THRB, PCOLCE2, CNP, HBB, CXCR4, PLOD2, CAPG, LTBP3, FNBP1L, ENO2, THBS1, NDRG1, FSTL1, IGKC, RACK1, SPP1, NCAM1, SH3BGRL3, GPC4, PRKCD, PLAUR, FN1, CYBRD1, HBA2, HBA1, HLA-A, MIF, EHD2, COL1A2, DDAH2, APOC2, CD9, ZNF711, SERINC1, LAP3	102	2811	18224	2.4152733309616985	5.424004482657008E-5	1.808050399731264E-5	1.6653095786998485E-5
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	38	36.19047619047619	1.4274082103141559E-7	FCGBP, SCARB1, GRN, THRB, PCOLCE2, CNP, HBB, CXCR4, PLOD2, CAPG, LTBP3, FNBP1L, ENO2, THBS1, NDRG1, FSTL1, IGKC, RACK1, SPP1, NCAM1, SH3BGRL3, GPC4, PRKCD, PLAUR, FN1, CYBRD1, HBA2, HBA1, HLA-A, MIF, EHD2, COL1A2, DDAH2, APOC2, CD9, ZNF711, SERINC1, LAP3	102	2811	18224	2.4152733309616985	2.726312712086898E-5	2.7263496817000377E-5	2.5836088606686222E-5
GOTERM_CC_ALL	GO:0044421~extracellular region part	45	42.857142857142854	3.9030233591481056E-7	FCGBP, SCARB1, GRN, THRB, PCOLCE2, CNP, HBB, SLC1A3, CXCR4, ATP1A2, PLOD2, CAPG, LTBP3, FNBP1L, ENO2, THBS1, NDRG1, FSTL1, LFNG, IGKC, RACK1, SPP1, NCAM1, SH3BGRL3, GPC4, MCAM, PRKCD, PLAUR, FN1, CYBRD1, HBA2, HBA1, HLA-A, MIF, OLFM1, EHD2, COL1A2, DDAH2, APOC2, COL5A2, CD9, ZNF711, SERINC1, LAP3, ANGPTL4	102	3878	18224	2.0732336255801957	1.4830391847053814E-4	3.7078721911907E-5	3.415145439254592E-5
GOTERM_BP_ALL	GO:0010942~positive regulation of cell death	16	15.238095238095239	1.970090054192223E-6	BNIP3L, BTG1, NTRK3, F2R, PRKCD, PLAUR, HBB, HBA2, HBA1, FOXO3, THBS1, APC, DLC1, RACK1, NUPR1, PPARGC1A	98	607	16792	4.516558517970614	0.006384302260138419	0.004352866277879233	0.004227006717706779
GOTERM_BP_ALL	GO:0051239~regulation of multicellular organismal process	35	33.33333333333333	2.677862982392638E-6	SCARB1, THRB, BTG1, EPAS1, CXCR4, ATP1A2, FOXO3, NOL3, THBS1, SLC5A3, LFNG, RACK1, SPP1, SH3BGRL3, GPC4, PDLIM5, PPARGC1A, PRRX1, NTRK3, PRKCD, F2R, PLAUR, FN1, OMG, COBL, HLA-A, MIF, FBXO32, OLFM1, NFIB, APOC2, COL5A2, NUPR1, ANGPTL4, DBN1	98	2659	16792	2.2554128834685434	0.008667958950016708	0.004352866277879233	0.004227006717706779
SP_COMMENT_TYPE	function	91	86.66666666666667	3.1612034221756317E-6	FCGBP, SCARB1, THRB, BTG1, GOLT1B, HBB, PLOD2, KIF11, FNBP1L, ENO2, PPP1R18, LFNG, AKAP12, NGRN, TMEM43, TRIM2, RACK1, SH3BGRL3, TNS3, TMPO, DUSP4, BNIP3L, RALBP1, PRKCD, F2R, PLAUR, OMG, HBA2, OLIG1, HLA-A, MIF, HBA1, ARL4C, OLFM1, GAP43, DDAH2, DKC1, ZNF711, ANGPTL4, NUPR1, LAP3, DBN1, GRN, PCOLCE2, EPAS1, CXCR4, SLC1A3, CAPG, ATP1A2, LTBP3, FOXO3, NOL3, THBS1, NDRG1, FSTL1, SLC5A3, SLC7A2, IRAK2, TSPAN7, SPP1, NCAM1, GPC4, PDLIM5, PPARGC1A, CA12, PRRX1, NDUFA5, NTRK3, MCAM, FN1, LAPTM5, CYBRD1, FBXO32, PARP14, SLC6A6, EHD2, H1F0, SLC6A8, GNL3L, COL1A2, P4HA1, APC, NFIB, DLC1, APOC2, COL5A2, KLF9, BHLHE40, CD9, SERINC1, NCAPD2	102	13523	19404	1.2801458082308572	7.586612407017856E-5	5.144992147002537E-5	4.2874934558354474E-5
SP_COMMENT_TYPE	PTM	38	36.19047619047619	4.287493455835448E-6	SCARB1, GRN, PCOLCE2, EPAS1, HBB, SLC1A3, CXCR4, CAPG, LTBP3, KIF11, FOXO3, LFNG, AKAP12, SPP1, TNS3, TMPO, BNIP3L, NTRK3, PRKCD, F2R, FN1, OMG, HBA2, HBA1, HLA-A, SLC6A6, GAP43, H1F0, COL1A2, APC, COL5A2, BHLHE40, CFAP36, CD9, ZNF711, NCAPD2, NUPR1, ANGPTL4	102	3427	19404	2.1094079884653016	1.0289476950164911E-4	5.144992147002537E-5	4.2874934558354474E-5
GOTERM_BP_ALL	GO:0009611~response to wounding	16	15.238095238095239	4.463804890406292E-6	SCARB1, MCAM, NTRK3, F2R, PRKCD, PLAUR, FN1, HBB, SLC1A3, NOL3, THBS1, EHD2, GAP43, COL1A2, SPP1, CD9	98	649	16792	4.22426967705418	0.014407072526732234	0.004576614734408527	0.004444285671032827
GOTERM_BP_ALL	GO:0065008~regulation of biological quality	41	39.04761904761905	5.631023973434053E-6	SCARB1, THRB, CNP, EPAS1, HBB, SLC1A3, CXCR4, ATP1A2, CAPG, FOXO3, NOL3, THBS1, IGKC, LARS, RACK1, SPP1, NCAM1, SH3BGRL3, PDLIM5, PPARGC1A, CA12, BNIP3L, NTRK3, PRKCD, F2R, PLAUR, FN1, CYBRD1, MIF, OLFM1, EHD2, GNL3L, COL1A2, DKC1, APOC2, DLC1, CD9, ANGPTL4, CNIH3, DBN1, SIDT2	98	3548	16792	1.9800519982513862	0.018139964159418875	0.004576614734408527	0.004444285671032827
GOTERM_CC_ALL	GO:0005576~extracellular region	47	44.761904761904766	8.42338141622688E-6	FCGBP, SCARB1, GRN, THRB, PCOLCE2, CNP, HBB, SLC1A3, CXCR4, ATP1A2, PLOD2, CAPG, LTBP3, FNBP1L, ENO2, THBS1, NDRG1, FSTL1, LFNG, NGRN, IGKC, RACK1, SPP1, NCAM1, SH3BGRL3, GPC4, MCAM, PRKCD, F2R, PLAUR, FN1, CYBRD1, HBA2, HBA1, HLA-A, MIF, OLFM1, EHD2, COL1A2, DDAH2, APOC2, COL5A2, CD9, ZNF711, SERINC1, LAP3, ANGPTL4	102	4623	18224	1.816425120772947	0.0031957810056122415	6.041020327366089E-4	5.56409766994245E-4
GOTERM_CC_ALL	GO:0031982~vesicle	41	39.04761904761905	9.538453148472772E-6	FCGBP, SCARB1, GRN, THRB, PCOLCE2, CNP, HBB, CXCR4, ATP1A2, PLOD2, CAPG, LTBP3, FNBP1L, ENO2, THBS1, NDRG1, FSTL1, LFNG, IGKC, RACK1, SPP1, NCAM1, SH3BGRL3, GPC4, PRKCD, PLAUR, FN1, CYBRD1, HBA2, HBA1, HLA-A, MIF, EHD2, COL1A2, DDAH2, APOC2, CD9, ZNF711, SERINC1, LAP3, CNIH3	102	3754	18224	1.951340792044042	0.0036180684431753596	6.041020327366089E-4	5.56409766994245E-4
UP_KEYWORDS	Glycoprotein	43	40.95238095238095	1.1679743184305394E-5	FCGBP, SCARB1, GRN, PCOLCE2, GLT8D2, HBB, SLC1A3, CXCR4, PLOD2, LTBP3, THBS1, FSTL1, SLC5A3, SLC7A2, LFNG, NGRN, DSEL, TSPAN7, SPP1, NCAM1, GPC4, CA12, MCAM, NTRK3, F2R, PLAUR, FN1, OMG, CYBRD1, HBA2, HBA1, HLA-A, SLC6A6, OLFM1, SLC6A8, COL1A2, P4HA1, APOC2, COL5A2, CD9, SERINC1, ANGPTL4, SIDT2	103	4551	20581	1.8879516504427702	0.002368193108393868	0.0011854939332069975	0.0011037357309168598
GOTERM_BP_ALL	GO:0009653~anatomical structure morphogenesis	33	31.428571428571427	1.743806813481309E-5	THRB, BTG1, CNP, EPAS1, SLC1A3, FOXO3, FNBP1L, THBS1, LFNG, RACK1, SPP1, NCAM1, GPC4, PDLIM5, PPARGC1A, DUSP4, PRRX1, MCAM, NTRK3, F2R, FN1, OMG, COBL, OLFM1, EHD2, GAP43, COL1A2, NFIB, DLC1, COL5A2, CD9, ANGPTL4, SIDT2	98	2631	16792	2.1491634281991017	0.0551146237362059	0.011338231901255472	0.011010396220320984
GOTERM_BP_ALL	GO:0015711~organic anion transport	11	10.476190476190476	2.1310481036898852E-5	CA12, SLC6A6, HBB, SLC1A3, HBA2, SERINC1, ATP1A2, MIF, HBA1, THBS1, SLC7A2	98	331	16792	5.694309143597016	0.06693565243389521	0.011507775039390315	0.01117503715759927
GOTERM_CC_ALL	GO:0031988~membrane-bounded vesicle	39	37.142857142857146	2.4669642522480977E-5	FCGBP, SCARB1, GRN, THRB, PCOLCE2, CNP, HBB, CXCR4, PLOD2, CAPG, LTBP3, FNBP1L, ENO2, THBS1, NDRG1, FSTL1, IGKC, RACK1, SPP1, NCAM1, SH3BGRL3, GPC4, PRKCD, PLAUR, FN1, CYBRD1, HBA2, HBA1, HLA-A, MIF, EHD2, COL1A2, DDAH2, APOC2, CD9, ZNF711, SERINC1, LAP3, CNIH3	102	3611	18224	1.9296593741345887	0.00933077540906091	0.0013392091655061102	0.0012334821261240489
GOTERM_BP_ALL	GO:1901700~response to oxygen-containing compound	23	21.904761904761905	2.477835289933319E-5	SCARB1, BTG1, CNP, NTRK3, F2R, PRKCD, HBB, HBA2, ATP1A2, MIF, HBA1, FOXO3, FBXO32, THBS1, COL1A2, IRAK2, COL5A2, KLF9, SPP1, RACK1, CD9, PPARGC1A, SIDT2	98	1466	16792	2.6882534732856307	0.0773962315744251	0.011507775039390315	0.01117503715759927
GOTERM_CC_ALL	GO:0005912~adherens junction	15	14.285714285714285	2.8334718791167724E-5	MCAM, PLAUR, CAPG, FNBP1L, NDRG1, AKAP12, APC, DLC1, RACK1, CD9, LAP3, PDLIM5, TNS3, DBN1, TMPO	102	694	18224	3.8616714697406342	0.010709585314163661	0.001345899142580467	0.001239643947113588
GOTERM_BP_ALL	GO:0044707~single-multicellular organism process	55	52.38095238095239	3.4183528653602524E-5	SCARB1, THRB, BTG1, HBB, LFNG, NGRN, RACK1, SH3BGRL3, TNS3, DUSP4, PRKCD, F2R, PLAUR, OMG, COBL, OLIG1, HLA-A, MIF, OLFM1, GAP43, ANGPTL4, NUPR1, DBN1, SIDT2, CNP, EPAS1, CXCR4, SLC1A3, ATP1A2, LTBP3, FOXO3, NOL3, THBS1, NDRG1, SLC5A3, SLC7A2, IGKC, SPP1, NCAM1, GPC4, PDLIM5, PPARGC1A, PRRX1, NTRK3, MCAM, FN1, EHD2, COL1A2, APC, NFIB, DLC1, APOC2, COL5A2, BHLHE40, CD9	98	5943	16792	1.5857448481664245	0.10517986833840032	0.013891331456607725	0.013489674994927895
GOTERM_CC_ALL	GO:0070161~anchoring junction	15	14.285714285714285	3.691780324611562E-5	MCAM, PLAUR, CAPG, FNBP1L, NDRG1, AKAP12, APC, DLC1, RACK1, CD9, LAP3, PDLIM5, TNS3, DBN1, TMPO	102	711	18224	3.769338959212377	0.013931076009693899	0.0015587516926137705	0.0014356923484600517
GOTERM_BP_ALL	GO:0001666~response to hypoxia	10	9.523809523809524	4.101625718256029E-5	BNIP3L, EPAS1, CXCR4, PLOD2, ANGPTL4, NOL3, FOXO3, THBS1, PPARGC1A, NDRG1	98	286	16792	5.99115170543742	0.12483827996772412	0.014815983566722611	0.014387591547260315
GOTERM_BP_ALL	GO:0040011~locomotion	23	21.904761904761905	4.759288238569045E-5	SCARB1, RALBP1, BTG1, MCAM, NTRK3, F2R, PRKCD, PLAUR, FN1, CXCR4, ATP1A2, MIF, THBS1, GAP43, COL1A2, APC, NFIB, DLC1, RACK1, NCAM1, SH3BGRL3, PPARGC1A, TNS3	98	1530	16792	2.5758036547952514	0.14335196810052542	0.015413387465137091	0.014967722001672653
GOTERM_BP_ALL	GO:0036293~response to decreased oxygen levels	10	9.523809523809524	5.215234146924269E-5	BNIP3L, EPAS1, CXCR4, PLOD2, ANGPTL4, NOL3, FOXO3, THBS1, PPARGC1A, NDRG1	98	295	16792	5.808370805949499	0.15595686967721056	0.015413387465137091	0.014967722001672653
GOTERM_CC_ALL	GO:0030054~cell junction	21	20.0	5.892947560124613E-5	MCAM, PRKCD, PLAUR, CXCR4, CAPG, ATP1A2, FNBP1L, NDRG1, AKAP12, OLFM1, GAP43, APC, DLC1, RACK1, CD9, LAP3, PDLIM5, CNIH3, TNS3, DBN1, TMPO	102	1379	18224	2.7208121827411165	0.02214497933432491	0.0022393200728473527	0.0020625316460436143
GOTERM_BP_ALL	GO:0006928~movement of cell or subcellular component	25	23.809523809523807	6.418746999024963E-5	SCARB1, BTG1, CXCR4, ATP1A2, KIF11, FNBP1L, THBS1, RACK1, NCAM1, SH3BGRL3, PPARGC1A, TNS3, MCAM, NTRK3, PRKCD, F2R, PLAUR, FN1, MIF, GAP43, COL1A2, APC, NFIB, DLC1, CD9	98	1795	16792	2.3864476152578025	0.1883452080939727	0.017365658291019884	0.0168635445169947
GOTERM_BP_ALL	GO:0016043~cellular component organization	55	52.38095238095239	8.080174792761931E-5	SCARB1, BTG1, HBB, KIF11, FNBP1L, LFNG, TMEM43, RACK1, SH3BGRL3, BNIP3L, PRKCD, F2R, PLAUR, OMG, COBL, HBA2, MIF, HBA1, OLFM1, GAP43, DKC1, ANGPTL4, NUPR1, DBN1, SIDT2, CNP, EPAS1, CXCR4, SLC1A3, CAPG, NOL3, THBS1, NDRG1, IGKC, SPP1, NCAM1, PDLIM5, PPARGC1A, PRRX1, NDUFA5, NTRK3, FN1, EHD2, H1F0, GNL3L, COL1A2, P4HA1, APC, NFIB, DLC1, APOC2, COL5A2, CD9, NCAPD2, CNIH3	98	6109	16792	1.5426553662879459	0.2310252123061698	0.017365658291019884	0.0168635445169947
GOTERM_BP_ALL	GO:0070482~response to oxygen levels	10	9.523809523809524	8.423382551080275E-5	BNIP3L, EPAS1, CXCR4, PLOD2, ANGPTL4, NOL3, FOXO3, THBS1, PPARGC1A, NDRG1	98	314	16792	5.456908878200962	0.2395582015538834	0.017365658291019884	0.0168635445169947
GOTERM_BP_ALL	GO:0051128~regulation of cellular component organization	29	27.61904761904762	8.506165222366843E-5	SCARB1, BTG1, CAPG, KIF11, FNBP1L, NOL3, THBS1, RACK1, SPP1, SH3BGRL3, PDLIM5, PPARGC1A, BNIP3L, PRRX1, NTRK3, PRKCD, PLAUR, FN1, OMG, COBL, OLFM1, EHD2, GAP43, GNL3L, APC, DKC1, APOC2, DLC1, DBN1	98	2323	16792	2.139070695002064	0.24160217302913878	0.017365658291019884	0.0168635445169947
GOTERM_BP_ALL	GO:0010001~glial cell differentiation	8	7.6190476190476195	8.546617430215876E-5	GAP43, CNP, NFIB, NTRK3, CD9, CXCR4, OLIG1, NDRG1	98	181	16792	7.573345360243545	0.24259897238130657	0.017365658291019884	0.0168635445169947
GOTERM_MF_ALL	GO:0031720~haptoglobin binding	3	2.857142857142857	9.565993359749925E-5	HBB, HBA2, HBA1	97	3	16881	174.03092783505153	0.04533738821521449	0.04639506779478714	0.04620374792759214
GOTERM_MF_DIRECT	GO:0031720~haptoglobin binding	3	2.857142857142857	9.565993359749925E-5	HBB, HBA2, HBA1	97	3	16881	174.03092783505153	0.024472674876972356	0.024775922801752306	0.024584602934557307
GOTERM_BP_ALL	GO:0031344~regulation of cell projection organization	13	12.380952380952381	1.107883795475774E-4	PRRX1, NTRK3, PRKCD, OMG, FN1, COBL, FNBP1L, OLFM1, GAP43, APC, SPP1, PDLIM5, DBN1	98	572	16792	3.8942486085343235	0.3024582949415855	0.018611997675388736	0.018073847019748464
GOTERM_BP_ALL	GO:0043065~positive regulation of apoptotic process	13	12.380952380952381	1.107883795475774E-4	BNIP3L, BTG1, NTRK3, F2R, PRKCD, PLAUR, FOXO3, THBS1, APC, DLC1, RACK1, NUPR1, PPARGC1A	98	572	16792	3.8942486085343235	0.3024582949415855	0.018611997675388736	0.018073847019748464
GOTERM_BP_ALL	GO:0008283~cell proliferation	25	23.809523809523807	1.1351978093952506E-4	SCARB1, BTG1, LTBP3, FOXO3, THBS1, NDRG1, GPC4, PPARGC1A, TNS3, PRRX1, NTRK3, PRKCD, F2R, FN1, HLA-A, MIF, APC, DKC1, NFIB, DLC1, KLF9, CD9, NUPR1, DBN1, SIDT2	98	1861	16792	2.30181271863931	0.3086255850063879	0.018611997675388736	0.018073847019748464
GOTERM_BP_ALL	GO:0010941~regulation of cell death	22	20.952380952380953	1.1722159225676722E-4	BNIP3L, BTG1, NTRK3, F2R, PRKCD, PLAUR, HBB, HBA2, MIF, HBA1, NOL3, FOXO3, THBS1, NDRG1, APC, DDAH2, TRIM2, DLC1, RACK1, NUPR1, ANGPTL4, PPARGC1A	98	1509	16792	2.4980998363560136	0.3168970741151337	0.018611997675388736	0.018073847019748464
GOTERM_BP_ALL	GO:0043068~positive regulation of programmed cell death	13	12.380952380952381	1.2022514647282791E-4	BNIP3L, BTG1, NTRK3, F2R, PRKCD, PLAUR, FOXO3, THBS1, APC, DLC1, RACK1, NUPR1, PPARGC1A	98	577	16792	3.860502953347717	0.32353559433664225	0.018611997675388736	0.018073847019748464
GOTERM_BP_ALL	GO:0048667~cell morphogenesis involved in neuron differentiation	12	11.428571428571429	1.3450688992876333E-4	OLFM1, GAP43, CNP, NFIB, NTRK3, SPP1, OMG, FN1, COBL, SLC1A3, NCAM1, PDLIM5	98	496	16792	4.1454904542462145	0.3542296349864503	0.019876449961745892	0.019301738704777537
